nome_datacenter;operadora;endereco;cep;link_datacenter;ano_inicio_obra;ano_conclusao_obra;area_construida_m2;fonte;observacoes
Maila Networks DC1;Maila Networks;R. Baronesa do Gravataí 738;90160070;https://www.datacentermap.com/brazil/porto-alegre/maila-networks-dc1/;;;;;Não encontrado na página do datacentermap.com.
Maila Networks - DC2 ;Maila Networks;R. Gomes de Freitas;91380000;https://www.datacentermap.com/brazil/porto-alegre/maila-networks-dc2/;;;;;Não encontrado. Descrito como site de backup do DC1.
Master da Web;Master da Web;Rua Pirapetinga 196;30220150;https://www.datacentermap.com/brazil/belo-horizonte/master-da-web/;;;;;Não encontrado na página do datacentermap.com.
SBA Edge Sao Paulo;SBA Edge;Rua Jose Abrantes, 186;04756-010;https://www.datacentermap.com/brazil/sao-paulo/matrix/;;;;;Não encontrado. Tier 3, ISO27001. Matrix foi adquirida pela SBA Communications em 2023.
Latitude.sh SAO;Latitude.sh;Rua Dr. Eduardo Martinelli, 100;04013050;https://www.datacentermap.com/brazil/sao-paulo/maxihost/;;;;datacentermap.com;Potência 1 MW. Tier III. Maxihost rebatizada como Latitude.sh em ago/2022 (ano de construção original não informado).
Microsoft Sao Paulo;Microsoft;Rua Santa Teresa, 64;01016-020;https://www.datacentermap.com/brazil/sao-paulo/microsoft-sao-paulo/;;;;;Não encontrado. Parte da região Azure Brasil South.
MiniDC MCR1;MiniDC by tryideas;R. Santa Catarina, 311 - Centro;85960-000;https://www.datacentermap.com/brazil/sao-paulo/minidc-mcr1/;;;;;Não encontrado na página do datacentermap.com.
NextStream Tamboré;NextStream;Av. Marcos Penteado de Ulhôa Rodrigues;06543-001;https://www.datacentermap.com/brazil/sao-paulo/nabiax-tambore/;;2011;4600;datacentermap.com;Fase 1 em 2011, fase 2 em 2018. 4.600 m² de área de TI (2 salas). Potência atual 6,1 MW, expansível a 11,5 MW, capacidade máxima potencial 23 MW. Tier III. Histórico: Telefónica -> Nabiax/Asterion (2019) -> Actis (mar/2023).
NextStream Curitiba;NextStream;Rua Senador Accioly Filho, 2200 ;81350-200;https://www.datacentermap.com/brazil/curitiba/nextstream-curitiba/;;;;;Não encontrado. Mesmo histórico de propriedade do NextStream Tamboré (Telefónica -> Nabiax -> Actis).
NICNET - Cravinhos - Data Center;Nicnet Telecom Ltda;Rua Cesário Motta 231;14140000;https://www.datacentermap.com/brazil/cravinhos/nicnet-cravinhos-data-center/;;2025;;datacentermap.com;Operacional desde março/2025. Tier III, 99,98% uptime.
NUV Datacenter - NUV1;NUV Datacenter;Rua Fioravanet Cassini, 28;29160-855;https://www.datacentermap.com/brazil/vitoria/nuv-datacenter-nuv1/;;;;;Não encontrado na página do datacentermap.com.
NUV Datacenter - NUV2;NUV Datacenter;R. Prof. Almeida Cousin, 125;29050-565;https://www.datacentermap.com/brazil/vitoria/nuv-datacenter-nuv2/;;;;;Não encontrado na página do datacentermap.com.
NWI Datacenter Brasília SIG;NWI;SIG Quadra 1 Lote 725;70610-410;https://www.datacentermap.com/brazil/brasilia/nwi-brasilia/;;;;;Não encontrado. Operadora com +20 anos de atuação.
ODATA SP02 DC1;ODATA, an Aligned Data Centers Company;R. José Blumer, 150;13186-510;https://www.datacentermap.com/brazil/sao-paulo/odata-sp02-dc1/;2019;2020;63000;datacentermap.com;"Construção iniciada em 2019, operacional em 2020; fase 1 lançada em 2021, fase 3 em 2022. Campus total de 63.000 m² (ODATA SP02); primeira fase construída em 12 meses."
ODATA SP02 DC2;ODATA, an Aligned Data Centers Company;R. José Blumer, 150;13186-510;https://www.datacentermap.com/brazil/sao-paulo/odata-sp02-dc2/;;;60000;datacentermap.com;Sublisting do campus ODATA SP02. Área total do campus 60.000 m² (30.000 m² disponíveis para expansão) — número ligeiramente diferente do informado na página do DC1 (63.000 m²), provavelmente reflete estágios distintos de divulgação do mesmo campus.
ODATA SP04;ODATA, an Aligned Data Centers Company;R. Herman, 02 - Industrial Anhangüera;06276-030;https://www.datacentermap.com/brazil/sao-paulo/odata-sp04/;2024;2025;;datacentermap.com;"Construção iniciada em 2024; início de operações previsto para abril/2025. Potência total 48 MW, até 50 kW/rack. Sistema de resfriamento Delta³ (Aligned). 100% energia renovável."
Piauí Link Data Center;ETIPI - PI;Av. Pedro Freitas, 1570;64019-368;https://www.datacentermap.com/brazil/teresina/piau-link-data-center/;;;;;"Não encontrado. Tier 3. Investimentos recentes >R$3 milhões; 480 TB de armazenamento primário, +800 VMs hospedadas."
PIX G8 Aracaju;Megatelecom;Rua Pacatuba, 254;49010-150;https://www.datacentermap.com/brazil/aracaju/pix-g8-aracaju/;;;;;Não encontrado. Megatelecom adquiriu a G8 Telecomunicações em jul/2023 (facility antes operada como G8).
PIX G8 Brasilia;Megatelecom;Setor Comercial Norte Q 6 Id;70655-775;https://www.datacentermap.com/brazil/brasilia/pix-g8-brasilia/;;;;;Não encontrado. Mesma aquisição Megatelecom/G8 Telecomunicações (jul/2023).
PIX G8 Goiania;Megatelecom;Avenida T-63, 3182;74250-320;https://www.datacentermap.com/brazil/goiania/pix-g8-goiania/;;;;;Não encontrado. Mesma aquisição Megatelecom/G8 Telecomunicações (jul/2023).
PIX G8 Manaus;Megatelecom;Corporate Trade, Rodovia Alvaro Maia, 2357;69025-310;https://www.datacentermap.com/brazil/manaus/pix-g8-manaus/;;;;;Não encontrado. Megatelecom adquiriu a G8 Telecomunicações em jul/2023.
PIX G8 Sao Paulo;Megatelecom;Rua Florida, 1738;04565-001;https://www.datacentermap.com/brazil/sao-paulo/pix-g8-sao-paulo/;;;;;Não encontrado. Mesma aquisição Megatelecom/G8 Telecomunicações (jul/2023).
ProveNET IDC;ProveNET Internet Services LTDA;Rua Isaías Domingos da Silveira, 215;60177-180;https://www.datacentermap.com/brazil/fortaleza/provenet-idc/;;;;;Não encontrado na página do datacentermap.com.
QNAX Data Center;QNAX Data Center;Av. Nossa Senhora do Ó, 865 - Limão;02715-000;https://www.datacentermap.com/brazil/sao-paulo/qnax-data-center/;;;;;Não encontrado. Opera 5 unidades (SP1 a SP5) na região metropolitana de São Paulo.
Quântico Data Center;Quântico Data Center;R. Eng. Homero Carlos Simon, 1100 - Guajuviras;92442000;https://www.datacentermap.com/brazil/porto-alegre/quantico-canoas/;;;6782;datacentermap.com;73.000 ft² de white floor space (~6.782 m²). Potência 12 MW (título da página menciona 50 MW — discrepância não esclarecida). Subestação elétrica própria e conexão com fibra submarina.
Ascenty - Hortolandia HTL1;Ascenty Data Centers;R. Papa João Paulo II 4;13185-252;https://www.datacentermap.com/brazil/campinas/r-papa-joao-paulo-ii-4/;;;4506;datacentermap.com;48.500 sq ft de piso elevado (~4.506 m²). Potência 12 MW.
Ascenty - Paulinia PLN1;Ascenty Data Centers;R. Sebastião Cardoso 350;13140-000;https://www.datacentermap.com/brazil/campinas/r-sebastião-cardoso/;;2019;7990;datacentermap.com;Operacional desde 2019. 86.000 sq ft de piso elevado (~7.990 m²). Potência 16 MW (título menciona 13 MW — discrepância não esclarecida). Tier 3.
R4 Data Center;R4 Data Center;Avenida Duque de Caxias, 882 - Novo Centro;87020-025;https://www.datacentermap.com/brazil/maringa/r4-data-center/;;;;datacentermap.com;"Fundado em 1995 como centro de treinamento de informática; passou a operar como data center posteriormente, mas o ano exato dessa transição não é informado."
R4C Datacenter;R4C;Av. Das Americas 500;22640100;https://www.datacentermap.com/brazil/rio-de-janeiro/r4c-networks/;;;;;Não encontrado na página do datacentermap.com.
RGK4IT Data Center;RGK4IT;Av. José Alves Nendo, 467 - Jardim São Silvestre;87055-000;https://www.datacentermap.com/brazil/maringa/rgk4it-data-center/;;;;;Não encontrado na página do datacentermap.com.
Ascenty - Sumare SUM1;Ascenty Data Centers;Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza);13177-435;https://www.datacentermap.com/brazil/campinas/rodovia-anhanguera-bldg-1/;;2017;9709;datacentermap.com;104.500 sq ft de piso elevado (~9.709 m²). Potência 16 MW.
Ascenty - Sumare SUM2;Ascenty Data Centers;Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza);13177-435;https://www.datacentermap.com/brazil/campinas/rodovia-anhanguera-bldg-2/;;2019;11985;datacentermap.com;'Second Ascenty data center in Sumaré goes into operation' em 2019. 129.000 sq ft de piso elevado (~11.985 m²). Potência 24 MW. Tier 3.
Insidesign Ribeirao Data Center;Insidesign Tecnologia Ltda EPP;Av. Saudade, 1210 - Campos Elísios;14085-010;https://www.datacentermap.com/brazil/sao-paulo/rpodc/;;;;;Não encontrado na página do datacentermap.com.
Ascenty - Hortolandia HTL2;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-2/;;2019;;datacentermap.com;'Ascenty opens Hortolândia 2 in 2019'.
Ascenty - Hortolandia HTL3;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-3/;;;;;Não encontrado (perfil sem texto no datacentermap.com).
Ascenty - Fortaleza FTZ1;Ascenty Data Centers;Rua Quatorze, 1161;61921-430;https://www.datacentermap.com/brazil/fortaleza/rua-quatorze-1161/;;2015;8361;datacentermap.com;Inaugurado em 2015. 90.000 sq ft de piso elevado (~8.361 m²). Potência 12 MW. Tier 3, conexão direta com cabos submarinos na Praia do Futuro.
Scala Data Centers SGRUTB06;Scala Data Centers;Av. Ceci;06460-120;https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb06/;;2024;21063;datacentermap.com;Abertura planejada para 2024 (conforme página, pode já estar operacional). 226.687 sq ft (~21.063 m²). Potência 20 MW. Campus Tamboré.
Scala Data Centers SGRUTB08;Scala Data Centers;Av. Ceci, 1649;06460-120;https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb08/;;2024;21063;datacentermap.com / prnewswire.com;"Operacional desde maio/2024 (datacentermap.com). Cerimônia oficial de inauguração da Fase 2 do campus Tamboré (SGRUTB08 e SGRUTB12 em operação; SGRUTB09/10/67 em construção) ocorreu em 16/ago/2024 com o governador Tarcísio de Freitas, com investimento de R$6,2 bilhões (US$1,13 bilhão) nesta fase."
Scala Data Centers SGRUTB12;Scala Data Centers;Av. Ceci;06460-120;https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb12/;;2023;6531;datacentermap.com / prnewswire.com;Inaugurado em 2023 (datacentermap.com). Fez parte também da cerimônia oficial da Fase 2 do campus Tamboré em 16/ago/2024 junto com SGRUTB08.
Scala Data Centers SGIGSM01;Scala Data Centers;Rod. Pres. Dutra 4300;25565;https://www.datacentermap.com/brazil/rio-de-janeiro/scala-sgigsm01/;;2023;;datacentermap.com;'Scala Data Centers opens SGIGSM01 Data Center in April 2023'. Potência 13,2 MW. PUE <1,4, WUE zero (refrigeração a ar).
Scala Data Centers SGRUSP02;Scala Data Centers;Alameda Glete 700;01215;https://www.datacentermap.com/brazil/sao-paulo/scala-sgrusp02/;;2010;;datacentermap.com;Operação iniciada em abril/2010 como 'UOL DIVEO Glete'. Digital Colony adquiriu os ativos da UOL DIVEO em abr/2020, formando depois a Scala.
Scala Data Centers SGRUTB01;Scala Data Centers;Av. Ceci 1850;06460;https://www.datacentermap.com/brazil/tambore/scala-sgrutb01/;;;;;Não encontrado individualmente. Mesmo histórico: UOL DIVEO vendida à Digital Colony em abr/2020.
Scala Data Centers SGRUTB03;Scala Data Centers;Av. Ceci 1750;04065;https://www.datacentermap.com/brazil/tambore/scala-sgrutb03/;;;;;Não encontrado individualmente. Scala tem portfólio de 21 milhões de sq ft em 57 propriedades na América Latina.
Scala Data Centers SGRUTB04;Scala Data Centers;Av. Ceci 1650;06460;https://www.datacentermap.com/brazil/tambore/scala-sgrutb04/;;2022;13000;tiinside.com.br;"Inaugurado em 31/ago/2022 — descrito como 'o maior data center vertical da América Latina' na época. Potência 18 MW. ~13.000 m², 56 m de altura, 7 andares (4 data halls). Mais de 1.500 racks. Certificação LEED; PUE ~1,35. Instalação single-tenant para cliente hyperscale."
Scala Data Centers SGRUTB05;Scala Data Centers;Av. Ceci 1600;06460;https://www.datacentermap.com/brazil/tambore/scala-sgrutb05/;;2023;;datacentermap.com;Lançado em maio/2023 (instalação tipo MiniPod/HyperEdge vertical). Potência 6 MW.
Scala Data Centers SPOAPA01;Scala Data Centers;Av. Pernambuco 1124 ;90240;https://www.datacentermap.com/brazil/porto-alegre/scala-spoapa01/;;2023;;datacentermap.com;Anunciado em out/2022, operacional desde dez/2023. Potência 8,4 MW.
Scala Data Centers SVCPCP01;Scala Data Centers;R. Guido de Camargo Penteado Sobrinho 3685;13082;https://www.datacentermap.com/brazil/campinas/scala-svcpcp01/;;;;datacentermap.com;"Potência 7 MW. Parte do Scala Data Centers Campinas Campus; ano e área não informados individualmente."
Sencinet Hortolândia;Sencinet;Rodovia Jornalista Francisco Aguirre Proença, KM 9;13186-904;https://www.datacentermap.com/brazil/campinas/sencinet-brazil/;;;;;Não encontrado. Em out/2020, operações da BT na América Latina foram vendidas à CIH Telecommunications Americas.
Serpro Modular Data Center;Serpro;R. Olívia Guedes Penteado, 941 - Socorro;04766-900;https://www.datacentermap.com/brazil/sao-paulo/serpro-so-paulo/;;;;;Não encontrado. Tier III (Uptime Institute), certificação NBR/ABNT 10636, PUE 1,4, arquitetura modular em containers.
Sitelbra Data Center;Sitelbra;SOFN Quadra 1, Conjunto C, Lote 9-12;70634130;https://www.datacentermap.com/brazil/brasilia/sitelbra-data-center/;;;;;Não encontrado. Tier III com redundância 2N, geradores dedicados e subestação própria.
IFTNET SJRP01;IFTNET Telecom;Av Bady Bassit 2966;15025000;https://www.datacentermap.com/brazil/sao-jose-do-rio-preto/sjrp01/;;;;;Não encontrado na página do datacentermap.com.
SKY Brasil - Jaguariúna;SKY Brasil;Rod. SP-340 Km133,10;13820-000;https://www.datacentermap.com/brazil/campinas/sky-brasil-jaguarina/;2014;2016;17000;datacentermap.com;Início das obras em novembro/2014, inaugurado em 2016. 17.000 m² de área construída em terreno de 33.000 m². Tier 3 (com características que excedem padrão Tier 4). Prêmio Data Center Dynamics Award (2015).
SKY Brasil - Tamboré;SKY Brasil;Av. Marcos Penteado de Ulhôa Rodrigues, 1000;06543-900;https://www.datacentermap.com/brazil/tambore/sky-brasil-tambore/;;;4027;datacentermap.com;4.027 m² de área construída em terreno de 19.814 m². Potência IT de 1.800 kW. Vendido pela SKY Brasil à Aliança (fundo imobiliário) por R$49,3 milhões, com leaseback de 15 anos.
Surfix Data Center;Surfix Cloud & Data Center;Av. Domingos Ferreira, 2010;51111-020;https://www.datacentermap.com/brazil/recife/surfix-data-center/;;;;;Não encontrado. Descrito como 'o primeiro e único data center Tier III da região' (Recife).
TAKODA Sao Paulo - SP1;TAKODA;R. Bento Branco de Andrade Filho, 621 - Jardim Dom Bosco;04757-000;https://www.datacentermap.com/brazil/sao-paulo/takdoa-sao-paulo-sp1/;;;;datacentermap.com;Potência 7 MW, mais de 1.500 racks. Ano e área não informados.
TAKODA Sao Paulo - SP2;TAKODA;Av. Maria Coelho Aguiar, 215 - Jardim Sao Luis;05805-000;https://www.datacentermap.com/brazil/sao-paulo/takdoa-sao-paulo-sp2/;;;;datacentermap.com;Potência >1.100 kW. Ano e área não informados.
TAKODA Rio de Janeiro - RJ1;TAKODA;Estrada dos Bandeirantes, 10916;22783-111;https://www.datacentermap.com/brazil/rio-de-janeiro/takoda-rio-de-janeiro-rj1/;;;9800;datacentermap.com;Mais de 9.800 m² dedicados a computação/gerenciamento de dados. Ano de inauguração não informado.
Teccloud Campo Bom;Teccloud Stefanini;Av. dos Municípios, 5510 - Vila Santa Lucia;93544-750;https://www.datacentermap.com/brazil/porto-alegre/teccloud-campo-bom/;;;;;Não encontrado. Parte do Stefanini Group.
Teccloud Porto Alegre;Teccloud Stefanini;Rua 18 de Novembro, 273/502 - Navegantes;90240-040;https://www.datacentermap.com/brazil/porto-alegre/teccloud-porto-alegre/;;;;;Não encontrado. Parte do Stefanini Group.
TELEPORTO RJ;Unknown Company;Av. Pres. Vargas, 3131 - Centro;20210-030;https://www.datacentermap.com/brazil/rio-de-janeiro/teleporto-rj/;;1995;250000;datacentermap.com;Primeiro desenvolvimento do complexo (New City, CECN Business Centre) aberto em jun/1995 — 'primeiro teleport da América Latina'. Área de 250.000 m² refere-se ao teleporto inteiro, não a um único data center/prédio.
Telium Data Center - POA;Telium Networks;Av. Independência, 1299;90035073;https://www.datacentermap.com/brazil/porto-alegre/telium-data-center--poa/;;;;;Não encontrado na página do datacentermap.com.
Telium Data Center - SPO;Telium Networks;Av. das Nações Unidas, 13797;04794000;https://www.datacentermap.com/brazil/sao-paulo/telium-data-center--spo/;;;;;Não encontrado na página do datacentermap.com.
TIP Brasil Campinas;TIP Brasil;R. Miguel Pascoal, 104 - Jardim do Trevo;13041-312;https://www.datacentermap.com/brazil/campinas/tip-brasil-campinas/;;2025;20000;datacentermap.com;"Primeira fase inaugurada em nov/2025; segunda fase de expansão prevista para início de 2026. ~20.000 m² de área construída. Potência inicial 10 MW, até 2.000 racks. Investimento de R$500 milhões (~US$94,6 milhões). Busca certificação Tier III."
TO HOST Data Centers;TO HOST Data Centers;Quadra ACSV SO 43, Av. LO 09, Lote 10, Sl 01;77015684;https://www.datacentermap.com/brazil/palmas/to-host-data-centers/;;;;datacentermap.com;Potência 0,075 MW. Tier 3, ISO27001. Ano e área não informados.
Tyna Host Data Center;Tyna Host Datacenter no Brasil;R. Waldemar Vaz Pereira, 45;36889-186;https://www.datacentermap.com/brazil/muriae/tyna-host-data-center/;;;;;Não encontrado. >90% da energia vem de geração solar.
Ultranet Telecom DC Cambuci;Ultranet Telecom;Rua Simao Dias da Fonseca, 61;01539-020;https://www.datacentermap.com/brazil/sao-paulo/ultranet-telecom/;;;;;Não encontrado. Possui piso elevado em todo o data center ('raised floors in the entire Data Center').
Unifique Timbó DC1;Unifique;R. Duque de Caxias, 831 - Centro;89120-000;https://www.datacentermap.com/brazil/blumenau/unifique-timb-dc1/;;;685;datacentermap.com;685 m² de área construída. Potência 1,5 MVA, autonomia de combustível de 72h. Tier III (Uptime Institute), 99,982% de uptime.
UPX Campinas Data Center;UPX Technologies;Rua Guapuruvu, 200 - Lot. Alphaville;13098-322;https://www.datacentermap.com/brazil/campinas/upx-campinas/;;;;;Não encontrado na página do datacentermap.com.
VSP Solution Belo Horizonte;VSP Solution;Av. Raja Gabáglia, 3348 - Estoril;30494310;https://www.datacentermap.com/brazil/belo-horizonte/valspe/;;;;;Não encontrado na página do datacentermap.com.
VISÃO DATACENTER LTDA ;VISÃO DATACENTER LTDA ;Av Giacomo Lunardi ;89825000;https://www.datacentermap.com/brazil/xaxim/viso-datacenter/;;;;;Página do datacentermap.com retornou erro 429 em 2 tentativas — não foi possível extrair dados dela.
Vivo Tamboré 1 Data Center;Vivo;Av. Marcos Penteado de Ulhôa Rodrigues, 1690;06543-001;https://www.datacentermap.com/brazil/sao-paulo/vivo-tambore-1-data-center/;;2012;33600;tecnoblog.net;Inaugurado em maio/2012 pela Telefônica/Vivo em Santana de Parnaíba. 33.600 m² de área construída. Investimento de R$400 milhões. Até 1.760 racks, projetado para 80.000 servidores. Entre os 3 maiores data centers da América Latina à época. Potência 7,2 MW (datacentermap.com).
Vix DataCenter;ConectJá Telecomunicações;R. Sérgio Cardoso, 75 - Dom Bosco;29147-350;https://www.datacentermap.com/brazil/vitoria/vix-datacenter/;;;;;"Não encontrado. Primeiro data center em Cariacica (ES); operador ConectJá Telecomunicações, +15 anos de atuação."
Tecto Big Lobster;Tecto Data Centers;R. Raimundo Esteves, 333 - Antonio Diogo;60182-330;https://www.datacentermap.com/brazil/fortaleza/vtal-big-lobster/;;;5000;datacentermap.com;"5.000 m² de área construída. Potência 6 MW, até 400 racks. Rebatizado 'Tecto' pela V.tal em 21/out/2024 (subsidiária de data centers da V.tal); ano de construção original não informado."
Tecto Mega Lobster;Tecto Data Centers;Av. Dioguinho & R. Francisco Montenegro;60183-713;https://www.datacentermap.com/brazil/fortaleza/vtal-mega-lobster/;2024;2025;13000;datacentermap.com;"Anunciado em jul/2023; início de construção (groundbreaking) em out/2024; inauguração operacional em 23/out/2025. 13.000 m². Potência 20 MW. Operado pela Tecto Data Centers (subsidiária da V.tal)."
NETWISE EMPRESAS;NETWISE EMPRESAS;Rua Edson Rezende, 206;35592094;https://www.datacentermap.com/brazil/lagoa-da-prata/wise-data/;;;;datacentermap.com;Potência 0,0845 MW. Tier III. Data center Edge.
